"","ID","ID_underscore","Year","UnitOfAnalysis","Landscape","Country","Mountain","Name","Metric","Definition","Calculation","ResultValue","Unit","FilterString","ResultVector"
"1","11441","11441",2020,"Range","Highland",NA,11441,"Jiri Massif","KBAPA","GMBA","Area",0.553304281787079,"percent","Range_Highland_KBAPA_GMBA_Area","36.65838879"
"2","12461","12461",2020,"Range","Highland",NA,12461,"Monte Linas Massif","KBAPA","GMBA","Area",26.1335755925673,"percent","Range_Highland_KBAPA_GMBA_Area","19.42495445"
"3","13898","13898",2020,"Range","Highland",NA,13898,"Herangi Range","KBAPA","GMBA","Area",2.30353072439941,"percent","Range_Highland_KBAPA_GMBA_Area","0.005338757"
"4","13899","13899",2020,"Range","Highland",NA,13899,"Mount Karioi Range","KBAPA","GMBA","Area",0.00477010266853578,"percent","Range_Highland_KBAPA_GMBA_Area","0.023656582"
"5","15066","15066",2020,"Range","Highland",NA,15066,"Los Montes de Málaga","KBAPA","GMBA","Area",19.1234503999122,"percent","Range_Highland_KBAPA_GMBA_Area","66.37375703"
"6","15172","15172",2020,"Range","Highland",NA,15172,"Akwapim Hills","KBAPA","GMBA","Area",0.465159973771645,"percent","Range_Highland_KBAPA_GMBA_Area","46.48143564"
"7","17001","17001",2020,"Range","Highland",NA,17001,"Twin Sisters-Foothills","KBAPA","GMBA","Area",3.42838408287059,"percent","Range_Highland_KBAPA_GMBA_Area","20.1761824"
"8","18961","18961",2020,"Range","Highland",NA,18961,"Svynadalsfjall","KBAPA","GMBA","Area",0.00946068084601869,"percent","Range_Highland_KBAPA_GMBA_Area","0.001112476"
"9","19695","19695",2020,"Range","Highland",NA,19695,"Coromandel Range (nn)","KBAPA","GMBA","Area",0.0603263242828675,"percent","Range_Highland_KBAPA_GMBA_Area","0.654448125"
"10","20408","20408",2020,"Range","Highland",NA,20408,"Hærvola","KBAPA","GMBA","Area",0.442020319673197,"percent","Range_Highland_KBAPA_GMBA_Area","18.58586751"
